Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Upper Level,B,6,3,27.0,400,2025-07-22,BUL,M,23.33,22.31,22.24,7.02,14.5,Overflow Jenny,7776,101.0
"",B,6,7,27.1,440,2025-07-18,GOUL,M,25.7,24.92,24.64,,11.0,Thirteen Plus,38666,101.0
"",B,5,4,27.5,324,2025-07-10,RICS,M,18.41,18.18,17.38,7.49,3.25,Fever Dream,5865,101.0
"",B,4,4,27.0,297,2025-07-03,DAPT,M,17.92,17.36,16.91,5.76,8.0,Aston Aisling,744,51.0
"",B,6,4,27.5,440,2025-06-14,PPK,MX,26.88,26.05,26.05,,11.75,Papa Spiro,6666,9.0
2. Ritza Old Mate,D,3,8,34.8,440,2025-07-25,GOUL,M,24.78,24.7,24.6,,1.0,Fearless Bandit,22233,16.0
3. Hooked On Honey,B,4,1,28.7,440,2025-07-25,GOUL,M,25.12,24.6,24.6,,7.5,Consigliere,33344,14.0
"",B,3,8,29.0,440,2025-07-18,GOUL,M,25.47,24.92,24.64,,7.75,Thirteen Plus,55533,2.8
"",B,7,10,28.5,450,2025-07-07,MAIT,MX,25.98,25.58,25.36,8.02,5.75,More Shots,4337,4.6
"",B,3,1,28.4,450,2025-06-23,MAIT,MX,25.64,25.36,25.18,8.03,4.0,Road To Fame,5333,1.85
"",B,2,7,28.6,450,2025-06-16,MAIT,M,25.99,25.9,25.3,8.21,1.25,Road To Fame,7622,3.8
4. Storm Time,B,8,3,31.7,440,2025-07-18,GOUL,M,26.0,24.92,24.64,,15.5,Thirteen Plus,77888,101.0
"",B,7,3,31.7,440,2025-07-11,GOUL,M,26.22,25.42,24.65,,11.5,Lumeah Nancy,57777,101.0
"",B,7,6,31.6,440,2025-07-04,GOUL,M,26.26,25.0,24.96,,18.0,Clock Winder,65777,101.0
"",B,5,1,32.1,440,2025-06-27,GOUL,M,25.86,24.76,24.76,,15.75,Take A Little,54455,21.0
"",B,6,5,31.7,440,2025-06-20,GOUL,M,26.16,25.18,24.79,,14.0,Spring Ribbon,6666,31.0
6. Muppet Arms,B,6,2,27.0,520,2025-07-24,DAPT,M,30.95,30.37,29.93,5.88,8.25,Rampager,7766,23.0
"",B,4,3,26.7,365,2025-07-14,NOWR,M,21.66,21.07,20.54,9.11,8.25,Ashby Toucan,44,4.6
"",B,4,6,26.8,440,2025-07-11,GOUL,M,25.77,25.42,24.65,,5.0,Lumeah Nancy,65544,9.0
"",B,4,1,27.0,440,2025-07-04,GOUL,M,25.53,25.0,24.96,,7.5,Clock Winder,77544,17.0
"",B,4,1,26.9,350,2025-06-27,GOUL,M,21.03,20.17,19.65,,12.25,Lumeah Thunder,7844,4.2
7. Ritza Jackson,D,3,8,33.6,440,2025-07-25,GOUL,M,25.44,24.87,24.6,,8.25,Magic Bandit,54233,6.0
8. My Mate Shay,B,7,2,28.3,440,2025-07-18,GOUL,M,25.87,24.92,24.64,,13.5,Thirteen Plus,66777,71.0
"",B,8,8,28.3,440,2025-07-11,GOUL,M,26.26,25.42,24.65,,12.0,Lumeah Nancy,76688,61.0
"",B,5,8,28.1,440,2025-07-04,GOUL,M,25.87,25.0,24.96,,12.25,Clock Winder,34455,101.0
"",B,6,4,27.9,440,2025-06-27,GOUL,M,25.95,24.76,24.76,,17.0,Take A Little,65666,101.0
"",B,7,9,27.7,350,2025-06-20,GOUL,M,21.24,20.09,19.74,,16.25,Spring Graf,8887,71.0
